Campaign Number,Start Date,End Date,Channel,Client,Address,Email,Phone,Contact,Audience,Location,Views,Engagement,Clicks,Conversions,Expense ($),Executive,CampaignType,Expense ($)
C045,2023-11-30 0:00:00,2023-12-23 0:00:00,Email,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Female 60+,Europe,NA,2029,2881,171,"48,920.63",Melissa Haynes,Sales,"23,153.00"
C046,2023-12-28 0:00:00,2024-01-08 0:00:00,YouTube,Thomas-Proctor,"820 Butler Streets Suite 875, North Denisehaven, WV 66736-0964",brownmario@leonard.com,371.890.0231,Angela Moore,Male 40-60,Japan,62604,3274,351,278,"23,547.35",Wesley Simon,Sales,"30,654.98"
C047,2023-07-25 0:00:00,2023-07-29 0:00:00,TikTok,"James, Phelps and Burgess","026 Good Ports Apt. 881, Port Adam, KY 82799-9255",edurham@hotmail.com,#ERROR!,Vanessa Miranda,Male 18-40,Japan,43095,4273,3873,789,"34,899.92",Lauren Riggs,Sales,"61,553.98"
C048,2023-11-12 0:00:00,2023-12-12 0:00:00,Email,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Teens 13-19,Japan,NA,5809,762,866,"26,462.54",Brandon Townsend Jr.,Sign Up,
C049,2023-08-20 0:00:00,2023-08-29 0:00:00,TikTok,Ross Group,"2397 Allison Knolls Suite 213, Jacksonside, WV 58803-3895",kristopher99@romero.org,1-844-245-2487x0945,Lauren Graham,Female 18-40,Japan,31796,1899,3771,687,"36,807.52",Brandon Townsend Jr.,Sign Up,
C050,2023-03-10 0:00:00,2023-04-06 0:00:00,Instagram,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Female 18-40,Australia,72501,6711,4852,168,"13,841.04",Thomas Ryan,Sign Up,
C051,2023-05-06 0:00:00,2023-05-29 0:00:00,TikTok,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Adults 40-60,Australia,55454,5056,591,851,"30,465.57",Lauren Riggs,Sales,"52,673.78"
C052,2023-03-21 0:00:00,2023-04-15 0:00:00,YouTube,Jones LLC,"89103 Jennings Cape Suite 740, South Dianafort, FL 68504",norrisjames@pearson-burton.biz,(363)957-0616x7906,Danielle Hernandez,Seniors 60+,India,51625,4100,4176,56,"4,048.33",Aaron Faulkner,Sales,"53,173.62"
C053,2023-09-28 0:00:00,2023-10-03 0:00:00,YouTube,"Parker, Velasquez and Dixon","33302 Fuller Lakes, West Christopher, MH 17095",hutchinsonmary@gmail.com,#ERROR!,Brian George,Female 18-40,Australia,4132,292,1920,99,"38,057.70",Aaron Faulkner,Sales,"59,317.15"
C054,2023-11-07 0:00:00,2023-12-01 0:00:00,YouTube,"Miller, Bryant and Burnett","1044 Kennedy Prairie Apt. 186, Jamiemouth, NE 12690-6573",bjohnson@martin-williams.com,958-840-3830,Christopher Clark,Seniors 60+,Europe,3140,8259,3955,43,"33,356.00",Aaron Faulkner,Sign Up,
C055,2023-02-28 0:00:00,2023-03-10 0:00:00,YouTube,Drake-Vasquez,"8980 Cox Park, South Robert, NV 66099-6728",tylersheila@hicks.com,123-800-5701,Teresa Doyle,Male 40-60,USA,43047,9683,1704,167,"49,537.77",Michael Camacho,Sales,"26,429.81"
C056,2023-03-12 0:00:00,2023-03-19 0:00:00,YouTube,Drake-Vasquez,"8980 Cox Park, South Robert, NV 66099-6728",tylersheila@hicks.com,123-800-5701,Teresa Doyle,Female 18-40,LATAM,63864,9076,3256,942,"28,751.79",Michael Camacho,Sign Up,
C057,2023-12-10 0:00:00,2023-12-30 0:00:00,Email,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Male 60+,USA,NA,6903,2981,990,"20,800.78",Melissa Haynes,Sign Up,
C058,2023-06-15 0:00:00,2023-07-01 0:00:00,Email,Cooper-Alexander,"01438 Kristin Fords Apt. 626, Port Paula, WA 20979-6415",gchavez@yang.com,(284)401-5003,Alexandria Hansen,Teens 13-19,LATAM,NA,5603,4671,376,"16,773.75",Thomas Ryan,Sales,"63,146.78"
C059,2023-12-13 0:00:00,2023-12-23 0:00:00,Instagram,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Seniors 60+,LATAM,80160,4125,3975,598,"29,949.79",Wesley Simon,Sales,"36,113.64"
C060,2023-07-07 0:00:00,2023-07-20 0:00:00,TikTok,Wade PLC,"3571 Harvey Centers, Ronaldfurt, NY 35589-6805",nhall@hotmail.com,(330)526-4186x670,Lacey Crane,Male 60+,UK,19067,1410,4989,801,"25,569.26",Lauren Riggs,Sales,"57,864.37"
C061,2023-05-02 0:00:00,2023-05-26 0:00:00,YouTube,Cunningham-Little,"Unit 5043 Box 8770, DPO AP 84852",christopher51@watson.net,1-113-299-8248x6225,Stephanie Fernandez,Female 40-60,India,28540,6055,2625,799,"20,281.14",Becky Brown,Sign Up,
C062,2023-06-04 0:00:00,2023-06-23 0:00:00,YouTube,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Female 40-60,UK,91014,4060,4716,676,"18,712.37",Wesley Simon,Sales,"60,693.38"
C063,2023-05-21 0:00:00,2023-05-25 0:00:00,Facebook,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Male 18-40,Europe,33476,7005,2186,658,"4,880.75",Wesley Simon,Sign Up,
C064,2023-11-14 0:00:00,2023-11-22 0:00:00,Instagram,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Female 60+,Japan,57664,2355,3422,337,"49,745.62",Melissa Haynes,Sales,"55,697.02"
C065,2023-09-16 0:00:00,2023-10-15 0:00:00,Email,Mcbride-Finley,"438 Brent Roads Apt. 855, Tylerburgh, NY 69473",mcclainhannah@jensen-gilbert.com,(856)414-5259x269,Michael Freeman,Teens 13-19,Australia,NA,7583,268,845,"46,026.43",Jesus Rivera,Sales,"49,049.50"
C066,2023-01-25 0:00:00,2023-02-17 0:00:00,Facebook,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Female 60+,UK,18061,4533,1310,223,"2,925.88",Melissa Haynes,Sales,"46,406.40"
C067,2023-01-07 0:00:00,2023-01-20 0:00:00,Facebook,"Reed, Galloway and Buck","49317 Vincent Vista Suite 462, Port Nathan, CA 23364-0905",larrygraham@lucas.com,(669)708-2006,Andrea Simmons,Male 18-40,Europe,45756,9994,2551,867,"13,427.22",Wesley Simon,Sign Up,
C068,2023-07-24 0:00:00,2023-07-30 0:00:00,Instagram,Jones LLC,"89103 Jennings Cape Suite 740, South Dianafort, FL 68504",norrisjames@pearson-burton.biz,(363)957-0616x7906,Danielle Hernandez,Male 18-40,Canada,55022,9822,2702,267,709.58,Aaron Faulkner,Sales,"54,160.79"
C069,2023-06-01 0:00:00,2023-06-10 0:00:00,Email,Bernard and Sons,"8622 Ricky Knoll, New Jenniferville, GA 79764-9207",johnsonrobert@white.com,#ERROR!,Julia Moore,Adults 18-40,India,NA,8233,1358,456,"31,296.65",Thomas Ryan,Sales,"49,397.38"
C070,2023-06-05 0:00:00,2023-06-25 0:00:00,Facebook,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Male 40-60,LATAM,93754,7829,1630,828,"19,748.38",Jesus Rivera,Sales,"49,032.64"
C071,2023-04-08 0:00:00,2023-04-29 0:00:00,Facebook,Melton-Smith,"03793 Jacobs Branch, West Max, MA 54633-3659",mercertimothy@huff.com,(729)575-8232,Patrick Abbott,Male 18-40,Australia,42436,2470,3712,217,"20,766.96",Lauren Riggs,Sales,"58,135.36"
C072,2023-12-01 0:00:00,2023-12-30 0:00:00,TikTok,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Male 40-60,Australia,30996,2704,2940,84,"25,009.46",Brandon Townsend Jr.,Sign Up,
C073,2023-10-01 0:00:00,2023-10-30 0:00:00,YouTube,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Male 60+,Europe,49630,8858,3114,550,"7,778.44",Melissa Haynes,Sales,"56,169.11"
C074,2023-10-26 0:00:00,2023-11-16 0:00:00,YouTube,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Adults 18-40,India,46763,3399,1689,982,"49,960.87",Brandon Townsend Jr.,Sales,"51,281.52"
C075,2023-12-22 0:00:00,2023-12-29 0:00:00,YouTube,Wade PLC,"3571 Harvey Centers, Ronaldfurt, NY 35589-6805",nhall@hotmail.com,(330)526-4186x670,Lacey Crane,Female 60+,LATAM,96168,7961,2812,216,"46,137.32",Lauren Riggs,Sales,"42,266.14"
C076,2023-05-17 0:00:00,2023-05-21 0:00:00,YouTube,"Parker, Velasquez and Dixon","33302 Fuller Lakes, West Christopher, MH 17095",hutchinsonmary@gmail.com,#ERROR!,Brian George,Female 18-40,USA,30561,5605,3619,949,"39,465.52",Aaron Faulkner,Sign Up,
C077,2023-06-12 0:00:00,2023-06-17 0:00:00,Instagram,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Male 40-60,Australia,50339,1131,4928,410,"39,922.28",Melissa Haynes,Sales,"60,892.28"
C078,2023-06-13 0:00:00,2023-07-06 0:00:00,Facebook,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Adults 18-40,LATAM,92679,4501,495,612,"24,834.69",Kyle Serrano,Sales,"61,170.51"
C079,2023-09-30 0:00:00,2023-10-15 0:00:00,TikTok,"Green, Lloyd and Ball","30284 Villarreal Passage Apt. 698, Brownshire, NV 89609-0041",wrightlucas@yahoo.com,562-293-0799x4586,Shelly Stafford,Male 40-60,Canada,94198,4398,2283,457,"17,012.40",Jesus Rivera,Sales,"61,089.80"
C080,2023-02-15 0:00:00,2023-02-25 0:00:00,Instagram,Smith-Bailey,"055 Rebecca Ramp, Edwardsland, WY 72139-7625",bakerpaul@holland.com,054-495-6142x7992,Sharon Reeves,Female 18-40,Canada,75181,5844,3427,861,"29,248.22",Michael Camacho,Sales,"77,891.46"
C081,2023-10-06 0:00:00,2023-10-23 0:00:00,Facebook,Jimenez and Sons,"8451 Walter Fords Apt. 737, South Danielchester, CT 12719-1372",amartinez@oconnell.com,405-164-0984x570,Justin Cole,Adults 40-60,Japan,23830,859,448,405,"24,992.08",Jesus Rivera,Sales,"50,203.67"
C082,2023-09-11 0:00:00,2023-10-03 0:00:00,YouTube,Daniels Group,"567 Jill Motorway, Sarabury, GU 20455-6244",michael10@gmail.com,(644)568-8783,Annette Rice,Female 40-60,Europe,10516,3199,4683,504,"31,206.02",Wesley Simon,Sales,"49,203.12"
C083,2023-08-19 0:00:00,2023-08-29 0:00:00,Instagram,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Male 18-40,UK,76149,1516,2464,113,"1,690.49",Brandon Townsend Jr.,Sales,"54,726.24"
C084,2023-07-14 0:00:00,2023-08-04 0:00:00,Email,Green-Blake,"230 Brandon Bypass Apt. 679, New Melissa, TN 37505-3043",karenpayne@yahoo.com,399.882.0614x59395,Dustin Ramirez,Female 40-60,Canada,NA,4717,2324,953,"23,215.97",Jesus Rivera,Sales,"59,982.18"
C085,2023-06-19 0:00:00,2023-06-26 0:00:00,TikTok,Bernard and Sons,"8622 Ricky Knoll, New Jenniferville, GA 79764-9207",johnsonrobert@white.com,#ERROR!,Julia Moore,Teens 13-19,UK,38814,3125,1259,798,"19,608.69",Thomas Ryan,Sign Up,
C086,2023-07-12 0:00:00,2023-08-10 0:00:00,Email,Vaughan Group,"PSC 0937, Box 0339, APO AP 98521",baldwinhailey@klein-fitzgerald.com,1-349-058-6674x35806,Ashley Carter,Female 40-60,UK,NA,323,3225,912,"48,880.35",Jesus Rivera,Sales,"70,181.29"
C087,2023-01-05 0:00:00,2023-01-13 0:00:00,YouTube,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Teens 13-19,USA,17483,8443,2784,750,"6,503.58",Thomas Ryan,Sales,"25,117.44"
C088,2023-03-16 0:00:00,2023-03-26 0:00:00,Facebook,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Female 60+,Japan,19274,7457,2486,886,"32,546.35",Brandon Townsend Jr.,Sign Up,
C089,2023-07-20 0:00:00,2023-07-24 0:00:00,TikTok,Jones LLC,"89103 Jennings Cape Suite 740, South Dianafort, FL 68504",norrisjames@pearson-burton.biz,(363)957-0616x7906,Danielle Hernandez,Teens 13-19,USA,45693,3968,2534,634,"36,032.25",Aaron Faulkner,Sales,"52,057.22"
C090,2023-02-08 0:00:00,2023-03-05 0:00:00,TikTok,Hernandez Inc,"9452 Amber Mills, Lopezville, NV 94038-0838",uhansen@livingston.com,1-519-470-8931x1832,Traci Holden,Adults 40-60,Europe,60840,2468,1174,395,"12,063.17",Melissa Haynes,Sign Up,
C091,2023-01-26 0:00:00,2023-02-24 0:00:00,Email,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Seniors 60+,Canada,NA,7932,2099,169,"2,555.32",Melissa Haynes,Sales,"29,954.56"
